,name,published_at,minute,regions,score
0,霸王别姬,1993-07-26,171分钟,"中国内地,中国香港",9.5
1,这个杀手不太冷,1994-09-14,110分钟,法国,9.5
2,肖申克的救赎,1994-09-10,142分钟,美国,9.5
3,泰坦尼克号,1998-04-03,194分钟,美国,9.5
4,罗马假日,1953-08-20,118分钟,美国,9.5
5,唐伯虎点秋香,1993-07-01,102分钟,中国香港,9.5
6,乱世佳人,1939-12-15,238分钟,美国,9.5
7,喜剧之王,1999-02-13,85分钟,中国香港,9.5
8,楚门的世界,,103分钟,美国,9.0
9,狮子王,1995-07-15,89分钟,美国,9.0
10,V字仇杀队,2005-12-11,132分钟,"美国,英国,德国",8.9
11,少年派的奇幻漂流,2012-11-22,127分钟,"美国,中国台湾,英国,加拿大",8.9
12,美丽心灵,2001-12-13,135分钟,美国,8.8
13,初恋这件小事,2012-06-05,118分钟,泰国,8.9
14,借东西的小人阿莉埃蒂,2010-07-17,94分钟,日本,8.8
15,一一,2000-05-15,173分钟,"中国台湾,日本",8.8
16,美丽人生,2020-01-03,116分钟,意大利,9.1
17,海上钢琴师,2019-11-15,126分钟,意大利,9.1
18,千与千寻,2019-06-21,125分钟,日本,9.1
19,迁徙的鸟,2001-12-12,98分钟,"法国,德国,意大利,西班牙,瑞士",9.1
20,黄金三镖客,1966-12-23,161分钟,"意大利,西班牙,西德",9.1
21,海洋,2011-08-12,104分钟,"法国,瑞士,西班牙,美国,阿联酋",9.1
22,我爱你,2011-02-17,118分钟,韩国,9.1
23,阿飞正传,2018-06-25,94分钟,中国香港,9.1
24,7号房的礼物,2013-01-23,127分钟,韩国,8.8
25,爱·回家,2002-04-05,80分钟,韩国,9.1
26,龙猫,2018-12-14,86分钟,日本,9.1
27,七武士,1954-04-26,207分钟,日本,8.8
28,美国往事,2015-04-23,229分钟,"意大利,美国",8.8
29,完美的世界,1993-11-24,138分钟,美国,8.8
30,上帝之城,,130分钟,"巴西,法国",8.8
31,辩护人,2013-12-18,127分钟,韩国,8.8
32,忠犬八公物语,1987-08-01,107分钟,日本,8.8
33,海豚湾,2009-07-31,92分钟,美国,8.8
34,英雄本色,2017-11-17,95分钟,中国香港,8.8
35,恐怖直播,2013-07-31,97分钟,韩国,8.8
36,窃听风暴,2006-03-23,137分钟,德国,8.8
37,时空恋旅人,2013-09-04,123分钟,英国,8.8
38,穿条纹睡衣的男孩,2008-08-28,94分钟,"英国,美国",8.8
39,教父,2015-04-18,175分钟,美国,8.8
40,萤火之森,2011-09-17,45分钟,日本,8.8
41,素媛,2013-10-02,123分钟,韩国,8.8
42,小鞋子,,89分钟,伊朗,8.8
43,熔炉,2011-09-22,125分钟,韩国,8.8
44,大话西游之大圣娶亲,2014-10-24,110分钟,"中国香港,中国大陆",8.9
45,新龙门客栈,2012-02-24,88分钟,"中国香港,中国大陆",8.9
46,触不可及,2011-11-02,112分钟,法国,8.9
47,钢琴家,2002-05-24,150分钟,"法国,德国,英国,波兰",8.9
48,本杰明·巴顿奇事,2008-12-25,166分钟,美国,8.9
49,倩女幽魂,2011-04-30,98分钟,中国香港,8.9
50,哈利·波特与死亡圣器（下）,2011-08-04,130分钟,"英国,美国",8.9
51,甜蜜蜜,2015-02-13,118分钟,中国香港,8.9
52,蝙蝠侠：黑暗骑士崛起,2012-08-27,165分钟,"美国,英国",8.9
53,鬼子来了,2000-05-13,139分钟,中国大陆,8.8
54,无敌破坏王,2012-11-06,101分钟,美国,8.8
55,致命魔术,2006-10-17,130分钟,"美国,英国",8.8
56,神偷奶爸,2010-06-20,95分钟,"美国,法国",8.8
57,断背山,2005-09-02,134分钟,"美国,加拿大",8.8
58,怦然心动,2010-07-26,90分钟,美国,8.8
59,驯龙高手,2010-05-14,98分钟,美国,8.8
60,飞屋环游记,2009-08-04,96分钟,美国,8.8
61,黑客帝国3：矩阵革命,2003-11-05,129分钟,"美国,澳大利亚",8.8
62,速度与激情5,2011-05-12,130分钟,美国,8.9
63,勇敢的心,1995-05-18,177分钟,美国,8.9
64,三傻大闹宝莱坞,2011-12-08,171分钟,印度,8.9
65,闻香识女人,1992-12-23,157分钟,美国,8.9
66,末代皇帝,1987-10-23,163分钟,"英国,意大利,中国大陆,法国,美国",8.9
67,风之谷,,117分钟,日本,8.9
68,大话西游之月光宝盒,2014-10-24,87分钟,"中国香港,中国大陆",8.9
69,放牛班的春天,2004-10-16,97分钟,"法国,德国,瑞士",8.9
70,当幸福来敲门,2008-01-17,117分钟,美国,8.9
71,幽灵公主,1998-05-01,134分钟,日本,8.9
72,十二怒汉,1957-04-13,96分钟,美国,8.9
73,搏击俱乐部,1999-09-10,139分钟,"美国,德国",8.9
74,疯狂原始人,2013-04-20,98分钟,美国,8.9
75,阿凡达,2010-01-04,162分钟,"美国,英国",8.9
76,哈尔的移动城堡,2004-09-05,119分钟,日本,8.9
77,盗梦空间,2010-09-01,148分钟,"美国,英国",8.9
78,忠犬八公的故事,2009-06-13,93分钟,"美国,英国",8.9
79,拯救大兵瑞恩,1998-11-13,169分钟,美国,8.9
80,活着,1994-05-17,132分钟,"中国大陆,中国香港",9.0
81,机器人总动员,2008-06-27,98分钟,美国,9.0
82,天堂电影院,1988-11-17,155分钟,"意大利,法国",9.0
83,指环王2：双塔奇兵,2003-04-25,179分钟,"美国,新西兰",9.0
84,指环王1：护戒使者,2002-04-04,178分钟,"新西兰,美国",9.0
85,射雕英雄传之东成西就,1993-02-05,113分钟,中国香港,9.0
86,蝙蝠侠：黑暗骑士,2008-07-14,152分钟,"美国,英国",9.0
87,无间道,2003-09-05,101分钟,中国香港,9.0
88,教父2,1974-12-12,202分钟,美国,9.0
89,加勒比海盗,2003-11-21,143分钟,美国,9.0
90,哈利·波特与魔法石,2002-01-26,152分钟,"美国,英国",9.0
91,指环王3：王者无敌,2004-03-15,201分钟,"美国,新西兰",9.0
92,黑客帝国,2000-01-14,136分钟,"美国,澳大利亚",9.0
93,剪刀手爱德华,1990-12-06,105分钟,美国,9.0
94,春光乍泄,1997-05-17,96分钟,"中国香港,日本,韩国",9.0
95,大闹天宫,1965-12-31,114分钟,中国大陆,9.0
96,天空之城,1992-05-01,125分钟,日本,9.0
97,音乐之声,1965-03-02,174分钟,美国,9.0
98,辛德勒的名单,1993-11-30,195分钟,美国,9.5
99,魂断蓝桥,1940-05-17,108分钟,美国,9.5
